abalone 5 7 Global 4174 148,6 26,7709 73,2287 9,70292 9,76374 90,2363 0,622904 0,102811 0,0097642 0,0073928 0 0 0
banana 5 2 Global 5300 18,1 61,151 38,849 41,3396 41,3474 58,6526 0,0188679 0,036986 0,0043063 0,0013023 0 0 0
bupa 5 6 Global 345 124,3 70,306 29,694 51,5942 53,1343 46,8657 2,89855 0,003479 0,0009927 0,0007866 0 0 0
flare 5 0 Global 1066 246,7 83,203 12,3284 12,2889 17,6075 82,3925 30,2064 0,0103081 0,0037168 0,0030207 0 0 0
heart 5 5 Global 270 235,8 99,4568 0,54321 12,963 52,2388 47,7612 75,1852 0,0034551 0,0013526 0,0011412 0 0 0
iris 5 4 Global 150 41,7 90,6519 9,34815 33,3333 33,3333 66,6667 0 0,0012813 0,0001822 9,68e-05 0 0 0
led7digit 5 7 Global 500 67,9 77,2 18,008 7,2 11,1801 88,8199 35,6 0,0040858 0,0006999 0,000412 0 0 0
mammographic 5 1 Global 830 159 86,9836 13,0164 48,1928 52,0156 47,9844 7,3494 0,0062704 0,0021661 0,0016849 0 0 0
newthyroid 5 5 Global 215 46,8 92,2791 7,72093 25,5814 25,8216 74,1784 0,930233 0,0019608 0,0003656 0,0002072 0 0 0
page-blocks 5 10 Global 5472 160,3 93,7861 6,21386 39,9854 40,0733 59,9267 0,219298 0,0585758 0,0192114 0,0161721 0 0 0
phoneme 5 5 Global 5404 210,4 80,4046 19,5954 55,3664 55,3664 44,6336 0 0,0519128 0,0203966 0,0172703 0 0 0
pima 5 8 Global 768 423 85,651 14,349 48,3073 49,8656 50,1344 3,125 0,0089969 0,0059846 0,005478 0 0 0
saheart 5 8 Global 462 353,8 92,8571 7,14286 47,8355 50,9217 49,0783 6,06061 0,0054888 0,0034175 0,0030802 0 0 0
shuttle 5 9 Global 57999 73,6 82,5606 17,4394 42,7594 42,7645 57,2355 0,0120692 0,575837 0,142213 0,107856 0 0 0
adult 5 6 Global 45222 19920,3 89,9776 10,0224 64,0241 81,3241 18,6759 21,2728 0,575943 0,104441 0,0710802 0 0 0
australian 5 7 Global 690 499,4 96,5532 3,44683 54,4928 81,5618 18,4382 33,1884 0,0102156 0,0015074 0,0010046 0 0 0
crx 5 6 Global 653 521,3 98,3202 1,67978 39,51 86 14 54,0582 0,0081892 0,0011837 0,0007521 0 0 0
balance 5 4 Global 625 562,5 100 0 0 0 100 100 0,004445 0,0004814 0,000133 0 0 0
census 5 9 Global 142521 80969,3 99,1607 0,839267 48,1319 96,4105 3,5895 50,0761 5,06927 0,836979 0,760284 0 0 0
coil2000 5 2 Global 9822 7469,6 98,4044 1,23171 24,5978 91,7585 8,24155 73,1928 0,825834 0,100664 0,0936984 0 0 0
connect-4 5 0 Global 67557 60801,3 100 0 0 0 100 100 1,77502 0,253327 0,207392 0 0 0
covtype_2_vs_1 5 10 Global 495141 22353,9 83,1947 16,8053 85,1703 85,1741 14,8259 0,00444318 23,1645 2,73285 2,62546 0 0 0
fars_0_vs_4_ 5 5 Global 62123 39933,6 100 0 44,8497 100 0 55,1503 1,81091 0,261338 0,218223 0 0 0
german 5 3 Global 1000 898,4 100 0 0,6 100 0 99,4 0,0171946 0,002051 0,0014926 0 0 0
magic 5 10 Global 19020 1878,1 81,5383 18,4617 81,4143 81,4743 18,5257 0,0736067 0,292226 0,0368595 0,0256795 0 0 0
thyroid 5 6 Global 7200 928,3 93,941 6,05895 92,2639 93,5107 6,4893 1,33333 0,122473 0,0134237 0,0092991 0 0 0
vehicle 5 18 Global 846 707,9 98,0641 1,93591 52,4823 64,0693 35,9307 18,0851 0,0957748 0,0168863 0,0163848 0 0 0
vowel 5 11 Global 990 640,8 98,2738 1,72615 92,1212 92,5888 7,41117 0,505051 0,0206896 0,0029706 0,0022578 0 0 0
segment 5 19 Global 2310 877,5 94,355 5,64502 89,7835 92,5893 7,41071 3,0303 0,13145 0,0181554 0,016589 0 0 0
winequality-red 5 11 Global 1599 705,1 77,7903 22,2097 54,0338 54,8223 45,1777 1,4384 0,0430215 0,0057881 0,0047856 0 0 0
winequality-white 5 11 Global 4898 985,2 59,9796 40,0204 46,4884 46,593 53,407 0,224581 0,139939 0,0150801 0,0121887 0 0 0
spambase 5 57 Global 4597 1368,7 86,0535 13,9465 80,3568 84,589 15,411 5,00326 0,356296 0,0487211 0,0453173 0 0 0
penbased 5 16 Global 10992 7732 99,848 0,15203 93,9774 98,9179 1,08206 4,99454 0,297401 0,0682044 0,0612494 0 0 0
ring 5 20 Global 7400 5049,5 99,0366 0,963363 54,5405 79,1683 20,8317 31,1081 0,81257 0,161426 0,156877 0 0 0
twonorm 5 20 Global 7400 6654,3 99,9535 0,0465465 34,4189 91,3558 8,64419 62,3243 1,0825 0,236323 0,231739 0 0 0
satimage 5 36 Global 6435 1991,7 76,4842 23,5158 64,3201 64,7022 35,2978 0,590521 1,79919 0,184386 0,180456 0 0 0
texture 5 40 Global 5500 3662,7 97,9628 2,03717 87,5455 93,4226 6,57742 6,29091 1,73291 0,189911 0,186145 0 0 0
letter 5 16 Global 20000 7402,7 83,1496 16,8504 74,5 74,668 25,332 0,225 1,14487 0,154229 0,140402 0 0 0
