abalone 5 7 Global 4174 239,5 27,2838 72,7155 8,16962 8,17746 91,8225 0,0958313 0,140253 0,016285 0,0136245 0 0 0
banana 5 2 Global 5300 18,9 63,2144 36,7856 51,0566 51,0662 48,9338 0,0188679 0,0371692 0,0044196 0,001478 0 0 0
bupa 5 6 Global 345 133,4 69,6872 30,3128 48,6957 50 50 2,6087 0,0037344 0,0009996 0,000775 0 0 0
flare 5 0 Global 1066 246,7 83,203 12,3284 12,2889 17,6075 82,3925 30,2064 0,0119307 0,0034939 0,0028215 0 0 0
heart 5 5 Global 270 234,9 99,4601 0,539862 14,8148 58,8235 41,1765 74,8148 0,0034019 0,0013126 0,0010913 0 0 0
iris 5 4 Global 150 41,3 93,7285 6,27155 28,6667 28,6667 71,3333 0 0,0012 0,0001962 9,84e-05 0 0 0
led7digit 5 7 Global 500 67,9 77,2 18,008 7,2 11,1801 88,8199 35,6 0,0041908 0,0007466 0,0004402 0 0 0
mammographic 5 1 Global 830 159 86,9836 13,0164 48,1928 52,0156 47,9844 7,3494 0,0063789 0,0022641 0,0017631 0 0 0
newthyroid 5 5 Global 215 46,2 92,5477 7,4523 26,5116 26,7606 73,2394 0,930233 0,0017966 0,0003333 0,0001803 0 0 0
page-blocks 5 10 Global 5472 161,8 93,7658 6,2342 50,6213 50,7233 49,2767 0,201023 0,0622533 0,0192281 0,0159555 0 0 0
phoneme 5 5 Global 5404 233 78,6941 21,3059 56,1806 56,1806 43,8194 0 0,0510296 0,0220456 0,0188768 0 0 0
pima 5 8 Global 768 430,2 84,9293 15,0707 50,1302 51,7473 48,2527 3,125 0,0094672 0,0057047 0,0052167 0 0 0
saheart 5 8 Global 462 357,2 90,6391 9,36087 49,7835 52,8736 47,1264 5,84416 0,0063477 0,003545 0,0031482 0 0 0
shuttle 5 9 Global 57999 76,9 88,4659 11,5341 35,4592 35,4635 64,5365 0,0120692 0,578309 0,136502 0,103829 0 0 0
adult 5 6 Global 45222 20334,8 89,3053 10,6947 64,1767 81,399 18,601 21,1578 0,584433 0,0990811 0,0693874 0 0 0
australian 5 7 Global 690 510,3 95,9058 4,09424 55,942 82,4786 17,5214 32,1739 0,0088804 0,0014316 0,0008795 0 0 0
crx 5 6 Global 653 523,4 97,9516 2,04839 39,9694 87 13 54,0582 0,0086227 0,0012483 0,0007437 0 0 0
balance 5 4 Global 625 562,5 100 0 0 0 100 100 0,004511 0,0005108 0,0001499 0 0 0
census 5 9 Global 142521 81242,9 99,0248 0,975152 48,1347 96,4188 3,58117 50,0775 5,22344 0,85595 0,778569 0 0 0
coil2000 5 2 Global 9822 7469,5 98,4664 1,12167 24,5978 91,7585 8,24155 73,1928 0,826181 0,100918 0,0934785 0 0 0
connect-4 5 0 Global 67557 60801,3 100 0 0 0 100 100 1,75559 0,242692 0,19825 0 0 0
covtype_2_vs_1 5 10 Global 495141 25616,7 81,9903 18,0097 86,4976 86,5011 13,4989 0,00403925 24,4452 2,84295 2,73864 0 0 0
fars_0_vs_4_ 5 5 Global 62123 39933,6 100 0 44,8497 100 0 55,1503 1,77014 0,243774 0,201607 0 0 0
german 5 3 Global 1000 898,4 100 0 0,6 100 0 99,4 0,0166174 0,0021659 0,0015631 0 0 0
magic 5 10 Global 19020 2026 81,885 18,115 83,1861 83,2474 16,7526 0,0736067 0,314317 0,0401132 0,028472 0 0 0
thyroid 5 6 Global 7200 929,9 93,1802 6,81977 92,375 93,6101 6,38987 1,31944 0,129666 0,0148985 0,0105348 0 0 0
vehicle 5 18 Global 846 720,5 96,5842 3,41581 51,8913 63,3478 36,6522 18,0851 0,104649 0,0181352 0,0174737 0 0 0
vowel 5 11 Global 990 646,1 96,1499 3,85011 92,6263 93,0964 6,90355 0,505051 0,0236556 0,0034561 0,0023529 0 0 0
segment 5 19 Global 2310 909,9 94,4494 5,55057 91,0823 93,9286 6,07143 3,0303 0,130985 0,0175601 0,0161394 0 0 0
winequality-red 5 11 Global 1599 853,8 73,7374 26,2626 58,2239 59,1111 40,8889 1,50094 0,0447006 0,0059659 0,0050112 0 0 0
winequality-white 5 11 Global 4898 1414,1 58,6236 41,3764 52,1233 52,23 47,77 0,204165 0,188348 0,0185172 0,0154363 0 0 0
spambase 5 57 Global 4597 1511,8 86,8836 13,1164 82,4668 86,6712 13,3288 4,85099 0,351952 0,0479831 0,0449748 0 0 0
penbased 5 16 Global 10992 7727,2 99,6454 0,354604 94,1503 99,0904 0,909613 4,98544 0,349862 0,0739417 0,064074 0 0 0
ring 5 20 Global 7400 5054,5 98,053 1,94702 54,7838 79,4902 20,5098 31,0811 0,908698 0,171095 0,165867 0 0 0
twonorm 5 20 Global 7400 6655,2 99,8801 0,119942 34,4865 91,8316 8,16841 62,4459 1,24107 0,25228 0,247147 0 0 0
satimage 5 36 Global 6435 2454,2 76,8143 23,1857 65,439 65,8072 34,1928 0,559441 1,8708 0,192638 0,188638 0 0 0
texture 5 40 Global 5500 3764,4 96,9828 3,0172 88,1818 94,1017 5,89833 6,29091 1,88744 0,198363 0,194687 0 0 0
letter 5 16 Global 20000 8830,8 79,9677 20,0323 81,135 81,3017 18,6983 0,205 1,33652 0,168841 0,152203 0 0 0
