abalone 5 7 Global 4174 170,1 27,1404 72,8596 8,02587 8,05095 91,9491 0,311452 0,115335 0,0124206 0,0096368 0 0 0
banana 5 2 Global 5300 18,1 61,151 38,849 41,3396 41,3474 58,6526 0,0188679 0,0353408 0,0041086 0,0012574 0 0 0
bupa 5 6 Global 345 130,7 70,0751 29,9249 48,6957 50,1493 49,8507 2,89855 0,0037551 0,0011053 0,000876 0 0 0
flare 5 0 Global 1066 246,7 83,203 12,3284 12,2889 17,6075 82,3925 30,2064 0,0101491 0,0034142 0,0027511 0 0 0
heart 5 5 Global 270 235,8 99,4716 0,528447 14,0741 56,7164 43,2836 75,1852 0,0035424 0,0013379 0,0011062 0 0 0
iris 5 4 Global 150 41,3 91,7102 8,28983 30,6667 30,6667 69,3333 0 0,0011875 0,0002179 0,0001118 0 0 0
led7digit 5 7 Global 500 67,9 77,2 18,008 7,2 11,1801 88,8199 35,6 0,0040781 0,0007685 0,0004785 0 0 0
mammographic 5 1 Global 830 159 86,9836 13,0164 48,1928 52,0156 47,9844 7,3494 0,0062945 0,0021569 0,0016695 0 0 0
newthyroid 5 5 Global 215 47,9 92,7735 7,22653 24,6512 24,8826 75,1174 0,930233 0,0017592 0,000281 0,0001539 0 0 0
page-blocks 5 10 Global 5472 160 93,7172 6,28283 46,473 46,5666 53,4334 0,201023 0,0594484 0,0194515 0,0163065 0 0 0
phoneme 5 5 Global 5404 218 79,4953 20,5047 57,5315 57,5315 42,4685 0 0,0473266 0,0211168 0,0180526 0 0 0
pima 5 8 Global 768 423,2 85,7133 14,2867 50,5208 52,2911 47,7089 3,38542 0,009263 0,0056025 0,005117 0 0 0
saheart 5 8 Global 462 354,7 92,288 7,71204 51,0823 54,3779 45,6221 6,06061 0,0054019 0,0033831 0,0030386 0 0 0
shuttle 5 9 Global 57999 75,2 84,05 15,95 39,3576 39,3623 60,6377 0,0120692 0,56439 0,133331 0,100044 0 0 0
adult 5 6 Global 45222 20176,3 89,656 10,344 64,2254 81,5041 18,4959 21,1999 0,609067 0,104592 0,0723405 0 0 0
australian 5 7 Global 690 506,2 96,5518 3,44818 54,7826 81,2903 18,7097 32,6087 0,0087988 0,0013877 0,000936 0 0 0
crx 5 6 Global 653 523,1 98,2251 1,77493 39,8162 86,6667 13,3333 54,0582 0,010826 0,0014531 0,0009288 0 0 0
balance 5 4 Global 625 562,5 100 0 0 0 100 100 0,0051827 0,0005994 0,0001762 0 0 0
census 5 9 Global 142521 81020,7 99,1085 0,891499 48,1269 96,398 3,60205 50,0747 5,15858 0,847463 0,771507 0 0 0
coil2000 5 2 Global 9822 7469,6 98,4044 1,23171 24,5978 91,7585 8,24155 73,1928 0,812606 0,0982183 0,0916169 0 0 0
connect-4 5 0 Global 67557 60801,3 100 0 0 0 100 100 1,76161 0,249065 0,202889 0 0 0
covtype_2_vs_1 5 10 Global 495141 23022,1 83,3525 16,6475 85,4702 85,4738 14,5262 0,00424122 23,5382 2,76717 2,6624 0 0 0
fars_0_vs_4_ 5 5 Global 62123 39933,6 100 0 44,8497 100 0 55,1503 1,8048 0,254428 0,211234 0 0 0
german 5 3 Global 1000 898,4 100 0 0,6 100 0 99,4 0,0181705 0,0023778 0,0017695 0 0 0
magic 5 10 Global 19020 1888,9 81,9088 18,0912 81,5457 81,6058 18,3942 0,0736067 0,302276 0,0374566 0,0261736 0 0 0
thyroid 5 6 Global 7200 927 93,8814 6,11857 92,2917 93,5389 6,46115 1,33333 0,125134 0,0138897 0,0096144 0 0 0
vehicle 5 18 Global 846 709,8 97,5177 2,48227 51,773 63,2948 36,7052 18,2033 0,102727 0,0178678 0,0172687 0 0 0
vowel 5 11 Global 990 642,5 97,8975 2,10251 92,0202 92,4873 7,51269 0,505051 0,0223387 0,003272 0,0024369 0 0 0
segment 5 19 Global 2310 882,7 94,6368 5,36316 89,7403 92,5446 7,45536 3,0303 0,123283 0,0169999 0,0155706 0 0 0
winequality-red 5 11 Global 1599 727,6 76,7853 23,2147 54,3465 55,1396 44,8604 1,4384 0,040429 0,0053457 0,0044122 0 0 0
winequality-white 5 11 Global 4898 1062,2 59,8166 40,1834 48,5913 48,7006 51,2994 0,224581 0,141284 0,015397 0,0125685 0 0 0
spambase 5 57 Global 4597 1371,5 86,3081 13,6919 80,248 84,4551 15,5449 4,98151 0,352636 0,0487576 0,0455254 0 0 0
penbased 5 16 Global 10992 7733,2 99,8406 0,159375 93,9956 98,9371 1,06291 4,99454 0,323736 0,0719416 0,06385 0 0 0
ring 5 20 Global 7400 5048,6 98,9645 1,03554 54,6081 79,2198 20,7802 31,0676 0,817856 0,156226 0,151739 0 0 0
twonorm 5 20 Global 7400 6655,2 99,9512 0,0487988 34,4054 91,3199 8,68006 62,3243 1,10936 0,242732 0,237413 0 0 0
satimage 5 36 Global 6435 2006,9 77,2851 22,7149 64,4911 64,8843 35,1157 0,606061 1,78926 0,188295 0,183948 0 0 0
texture 5 40 Global 5500 3660,8 97,8976 2,10236 87,5818 93,4614 6,53861 6,29091 1,7784 0,189015 0,185426 0 0 0
letter 5 16 Global 20000 7543,5 83,1631 16,8369 74,56 74,7281 25,2719 0,225 1,13603 0,152582 0,139577 0 0 0
