abalone 5 7 Global 4174 99,6 25,1344 74,8622 16,483 16,4988 83,5012 0,0958313 0,0764564 0,0068897 0,0045949 0 0 0
banana 5 2 Global 5300 19,6 78,2977 21,7023 79,434 79,449 20,551 0,0188679 0,0337581 0,0035157 0,0008064 0 0 0
bupa 5 6 Global 345 107,4 75,9903 24,0097 57,971 60,241 39,759 3,76812 0,003206 0,0003925 0,0001965 0 0 0
flare 5 0 Global 1066 246,7 83,203 12,3284 61,257 80,8168 19,1832 24,2026 0,01004 0,0011477 0,0005477 0 0 0
heart 5 5 Global 270 235,8 100 0 22,5926 89,7059 10,2941 74,8148 0,0029106 0,0004525 0,0002982 0 0 0
iris 5 4 Global 150 40,9 96,4444 3,55556 96 96 4 0 0,0011497 0,0001229 4,28e-05 0 0 0
led7digit 5 7 Global 500 67,9 77,2 18,008 63 76,087 23,913 17,2 0,0040051 0,0004508 0,0001831 0 0 0
mammographic 5 1 Global 830 158,2 87,6305 12,3695 76,0241 82,4837 17,5163 7,83133 0,0063065 0,0006821 0,0002421 0 0 0
newthyroid 5 5 Global 215 47 96,8992 3,10078 93,4884 94,3662 5,6338 0,930233 0,0017264 0,0001859 7,3e-05 0 0 0
page-blocks 5 10 Global 5472 157,1 94,1703 5,82968 93,7317 93,9205 6,07947 0,201023 0,059755 0,0071673 0,0039547 0 0 0
phoneme 5 5 Global 5404 203,9 82,1644 17,8356 80,829 80,829 19,171 0 0,0493704 0,0054995 0,0024179 0 0 0
pima 5 8 Global 768 400,2 91,0012 8,99884 68,2292 70,4301 29,5699 3,125 0,011923 0,0014696 0,0009347 0 0 0
saheart 5 8 Global 462 348,9 96,7412 3,25878 61,2554 65,358 34,642 6,27706 0,0067094 0,0010935 0,0007774 0 0 0
shuttle 5 9 Global 57999 70,2 92,0182 7,98184 92,4275 92,4386 7,56139 0,0120692 0,554233 0,09526 0,0623589 0 0 0
adult 5 6 Global 45222 19388,6 89,8828 10,1172 63,3386 80,5393 19,4607 21,3569 0,490851 0,0786071 0,0530996 0 0 0
australian 5 7 Global 690 493,1 96,9887 3,01127 54,7826 82,1739 17,8261 33,3333 0,0083405 0,0012777 0,0008582 0 0 0
crx 5 6 Global 653 518,9 98,5877 1,41229 39,0505 85,5705 14,4295 54,3645 0,0077734 0,001157 0,0007859 0 0 0
balance 5 4 Global 625 562,5 100 0 0 0 100 100 0,0045439 0,0004867 0,0001465 0 0 0
census 5 9 Global 142521 80798,1 99,2909 0,709096 48,0848 96,3258 3,67419 50,081 4,30318 0,658667 0,59014 0 0 0
coil2000 5 2 Global 9822 7468,1 98,4694 0,831672 24,5978 91,7585 8,24155 73,1928 0,744539 0,0840738 0,07707 0 0 0
connect-4 5 0 Global 67557 60801,3 100 0 0 0 100 100 1,65295 0,233011 0,188905 0 0 0
covtype_2_vs_1 5 10 Global 495141 21023,4 85,7676 14,2324 85,8965 85,9004 14,0996 0,00444318 20,2957 2,32199 2,22561 0 0 0
fars_0_vs_4_ 5 5 Global 62123 39933,6 100 0 44,8497 100 0 55,1503 1,54076 0,236693 0,193244 0 0 0
german 5 3 Global 1000 898,4 100 0 0,6 100 0 99,4 0,0165165 0,0018722 0,0012882 0 0 0
magic 5 10 Global 19020 1765,5 83,6324 16,3676 81,714 81,7742 18,2258 0,0736067 0,284917 0,039984 0,0289026 0 0 0
thyroid 5 6 Global 7200 909,3 94,4136 5,58642 92,0694 93,3136 6,68637 1,33333 0,120298 0,0135764 0,0093221 0 0 0
vehicle 5 18 Global 846 707,5 98,6407 1,35934 52,0095 63,3094 36,6906 17,8487 0,0969443 0,0172226 0,0166738 0 0 0
vowel 5 11 Global 990 644,4 99,1807 0,819304 92,2222 92,6904 7,30964 0,505051 0,018925 0,0027826 0,0021932 0 0 0
segment 5 19 Global 2310 872,1 96,1568 3,84319 90,8658 93,7054 6,29464 3,0303 0,116753 0,0164973 0,0151989 0 0 0
winequality-red 5 11 Global 1599 685,8 82,1034 17,8966 56,1601 56,9797 43,0203 1,4384 0,0377914 0,0055082 0,0045384 0 0 0
winequality-white 5 11 Global 4898 814,5 63,0881 36,9119 50,1633 50,266 49,734 0,204165 0,131345 0,0153838 0,0123785 0 0 0
spambase 5 57 Global 4597 1361,7 88,4127 11,5873 81,1181 85,3318 14,6682 4,938 0,310053 0,0441204 0,0412873 0 0 0
penbased 5 16 Global 10992 7733,2 99,8898 0,110181 93,9865 98,9275 1,07249 4,99454 0,293825 0,0721483 0,0653632 0 0 0
ring 5 20 Global 7400 5044,6 99,3979 0,602102 54,4054 78,9567 21,0433 31,0946 0,783228 0,167195 0,162856 0 0 0
twonorm 5 20 Global 7400 6654,4 99,988 0,012012 34,3649 91,2451 8,75493 62,3378 1,08401 0,252113 0,247165 0 0 0
satimage 5 36 Global 6435 1980,3 78,7758 21,2242 64,6775 65,0617 34,9383 0,590521 1,77725 0,18813 0,184301 0 0 0
texture 5 40 Global 5500 3662,5 97,903 2,09697 87,6909 93,5778 6,4222 6,29091 1,71853 0,190227 0,186698 0 0 0
letter 5 16 Global 20000 7025,1 87,5142 12,4839 77,485 77,6792 22,3208 0,25 1,06013 0,146171 0,134427 0 0 0
